dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22
0,0.18431,0,0.99216,0,0.99216,0.65882,0.98824,0,0,0,0.98824,0.62353,0.98824,0,0,0.99216,0,0,0.22353,0,0
0,0.37255,0,0.83137,0,0.99216,0.99216,0.98431,0,0.8,0.43529,0.98431,0,0.80392,0,0,0.99216,0,0,0.98431,0,0
0.45098,0.58039,0,0.99216,0,0.41961,0.41961,0,0,0,0,0.98431,0,0.99216,0,0,0.65098,1,0,0.56863,0,0
0.043137,0.99216,0,0.99216,0,0.82745,0.42353,0.85098,0,0,0,0.98431,0.99216,0.98431,0,0,0.99216,0.99216,0,0,0,0
0,0.38824,0,0.99216,0,0.99216,0.99216,0.99216,0,0,0.16078,0.99216,0,0.99608,0,0,0.99216,0,0,0.99216,0.098039,0
0,0.99216,0,0.23137,0.21961,0.99216,0.93333,0.99216,0,0,0,0.99216,0,0,0,0,0.99216,0,0.81569,0.070588,0.12941,0
0,0.98431,0,0.98431,0.23922,0.98431,0.84314,0.98431,0,0.98431,0,0.98431,0,0.99216,0,0,0.98431,0.99216,0,0,0,0
0,0,0,0,1,0,1,1,0.88627,0,0,0.88627,0.55294,0.33725,0,0,0,0,0.88627,0,0.66667,0
0.2,0.98824,0,0.62745,0,0.47451,0,0.59216,0,0,0,0.98039,0,0.83922,0,0,0.98824,0.98039,0,0.078431,0,0
0,0.99216,0,0.99216,0,0.41569,0,0.99216,0,0.058824,0,0.99216,0,1,0,0,0.61176,0.97255,0,0.59608,0,0
0.20784,0.090196,0,0.99216,0,0,0.23529,0.64314,0,0,0.23922,0.99216,0,0.99608,0,0,0.99216,0.99216,0,0.99216,0,0
0,0.78039,0,0.99216,0.023529,0.99216,0.24706,0.95686,0,0,0,0.99216,0.1451,0.090196,0,0,0.55686,0,0,0,0.67843,0
0.30588,0.99216,0,0.99216,0,0,0,0.77255,0,0,0,0.99216,1,0.99216,0,0,0.99216,0.99216,0,0.054902,0,0
0,0,0,0,0.99216,0,0.99608,0.75686,0.87843,0,0,0.9098,0,0,0,0,0,0,0.99216,0,0.36078,0.48235
0,0.9098,0,0.4549,0.98824,0.31765,0.98824,0.87451,0.81569,0,0,0.98824,0,0,0,0,0.98824,0,0.031373,0,0.98824,0
0,0,0,0.14902,0,0.99608,0.71373,0.11765,0,0,0,0,0.99608,0.88235,0,0,0.99608,0.058824,0,0.36078,0,0
0,0.97647,0,0.99216,0.2549,0.99216,0.99216,0.76863,0,0,0.88627,0.99216,0.41176,0.99216,0,0,0.96471,0,0,0.99216,0,0
0,0,0,0.98824,0.98039,0.33725,0,0.98039,0.16863,0,0,0.98039,0.98824,0.98039,0,0,0.41176,0,0.43137,0.82353,0.98039,0
0,0,0,0.098039,0.98824,0.84706,0.49412,0.31765,0,0,0,0.98824,0,0,0,0,0.68627,0,0,0.22353,0.32157,0
0.66667,0.99216,0,0.99216,0,0.031373,0,0.29804,0,0.015686,0,0.99216,1,0.67059,0,0,0.99216,0.99216,0,0,0,0
0,0.99216,0,0,0,0.99216,0.21176,0.83529,0,0,0,0.68235,0.99216,0.99216,0,0,0.30196,0.40392,0,0.10196,0,0
0,0,0,0.98824,0.50196,0.98824,0.99216,0.64706,0.07451,0,0,0.65882,0,0.55294,0,0,0.44706,0,0,0.42353,0.98824,0
0,0.6,0,0.43922,0.87451,0.57647,0.99216,0.98824,0,0,0,0.98824,0,0.25882,0,0,0,0,0.1451,0,0.96471,0
0,0.51765,0,0.37255,0,0.72941,0,0,0,0,0,0.10588,0,0.45098,0,0,0.38824,0,0,0,0,0
0,0.99216,0,0.59216,0,0,0,0.011765,0,0,0,0.99216,0,0,0,0,0.99216,0.96078,0,0,0,0
0,0.99216,0,0.99216,0.70588,0.63922,0.35294,0.98824,0,0,0,0.87843,0,0,0,0,0,0,0.98824,0,0.2,0
0,0.59216,0,0,0,0,0,0,0,0,0,0,0.054902,0.32941,0,0,0.28235,0.99608,0,0,0,0
0.76863,0,0,0.10588,0,0,0.30588,0.99216,0,0.0078431,0,0,0.61176,0.99216,0,0,0.20784,0,0,0.96863,0,0
0,0,0,0.84314,0.83922,0,0.54902,0.73333,0.23137,0,0,0,0,0.99608,0,0,0.92549,0,0.78039,0.96471,0.6902,0.17255
0,0.50196,0,0,0.96471,0.086275,0.81176,0.98824,0.05098,0,0,0.98824,0,0,0,0,0,0,0.98824,0,0.90196,0
0,0.46275,0,0,0.81961,0,0.61961,0.34118,0,0,0,0,0,0,0.062745,0,0,0,0,0,0.07451,0
0,0.058824,0,0.14118,0.99216,0.88627,0.99216,0.99216,0,0,0,0.42745,0.23137,0.99216,0,0,0,0,0.27843,0.6902,0.61176,0
0,0.019608,0,0.98824,0.2549,0.98824,0.98824,0.98824,0,0,0.63529,0.33333,0.13333,0.98824,0,0,0.98824,0.98824,0,0.98824,0,0
0,0.46667,0,0,0,0.99216,0.99216,0.7451,0,0,0,0.99216,0,0,0,0,0,0,0,0,0.058824,0
0,0.94118,0,0.98431,0.45098,0.99216,0.95294,0.98431,0,0,0,0.83137,0.99216,0.98431,0,0,0.98431,0.37647,0,0.8,0,0
0,0.98431,0,0.21961,0,0,0,0.22353,0,0,0,0.98431,0.33333,0.66275,0,0,0.98431,0.32549,0,0,0,0
0,0.99608,0,0.99608,0,0.98039,0,0.36078,0,0,0,0.99608,0.87843,0.95294,0,0,0.99608,0.090196,0,0,0,0
0,0.99608,0,0.99608,0.37647,0.82745,0.89804,0.99608,0,0,0,0.99608,0.81569,0.76471,0,0,0.99608,0.36078,0,0,0,0
0,0.15686,0,0.99216,0.4549,0.99608,0.99216,0.99216,0,0,0.50196,0.91765,0.99608,0.99216,0.8549,0,0.99216,0.99216,0,0.99216,0,0
0,0.69412,0,0.66275,0.082353,0.99608,0.98824,0.98824,0,0,0.05098,0.98824,0.99608,0.98824,0.45882,0,0.98824,0.87059,0,0.98824,0,0
0,0.3098,0,0.28235,0.98431,0.99216,0.99216,0.98431,0,0,0,0.80392,0.58431,0.92549,0,0,0.13725,0,0.16078,0.65098,0.54902,0
0,0.15686,0,0,0.98431,0.12549,0.99216,0.98431,0,0,0,0.92549,0.37647,0.86275,0,0,0.80392,0,0.27451,0.31373,0.062745,0
0,0,0,0,0.55686,0.99216,0,0.88627,0.24706,0,0,0.98431,0.99216,0.98431,0,0,0.99216,0,0.98431,0.61176,0.98431,0.023529
0.99216,0.99216,0,0.27843,0,0.28235,0,0.99216,0,0,0,0.98431,0.28627,0,0,0,1,0.55686,0,0,0,0
0,0,0,0.16471,0.98824,0.57255,0,0.92157,0,0,0.18824,0.98824,0,0.96863,0,0,0.99216,0,0,0.99216,0,0
0,0.043137,0,0.99216,0.36471,0.99216,0.99216,0.99216,0,0,0,0.85098,0,0.58824,0,0,0,0,0,0.18824,0.42745,0.11373
0,0.74902,0,0.38431,0.98431,0.98431,0.98431,0.98431,0.39216,0,0,0.98431,0,0.23137,0,0,0.70588,0,0,0.070588,0.98431,0
0,0.99216,0,0,0.37647,0.95294,0.15686,0.99216,0.99608,0,0,0.99216,0,0,0,0,0,0,0.99216,0,0.99216,0.96863
0,0,0,0.13333,0.99216,0.99608,0.8549,0,0,0,0.12549,0.96471,0.098039,0.99216,0.24314,0,0.99216,0,0,0.99216,0,0
0,0,0,0,0.98824,0.99216,0.99216,0.42745,0,0,0,0.80392,0,0,0.41569,0,0.9098,0,0,0,0,0
0,0.99608,0,0,0.80784,0.99608,0.99608,0.9098,0,0,0,0.99608,0,0.92157,0.80392,0,0.99608,0.16863,0,0.83922,0,0
0,0.90588,0,0.98824,0,0.99216,0,0.98824,0,0,0.20392,0,0.99216,0.98824,0,0,0,0,0,0.078431,0.45098,0
0,0.96471,0,0.4549,0.13333,0.83922,0.5451,0.99216,0,0,0,0.91765,0,0.6,0,0,0.22745,0,0.99216,0,0.99216,0
0,0.66667,0,0,0,0,0.99216,0.99216,0,0,0.035294,0.52157,0,0,0.93333,0,0.047059,0.91373,0,0.99216,0,0
0,0.4,0,0.15686,0,0.32157,0.4,0.16078,0,0,0,0.83137,0.75686,0.99216,0,0.23922,0.32157,0.98824,0,0.11765,0,0
0,0.99608,0,0.53333,0.6,0.98431,0.99608,0.8,0,0,0.46667,0.99608,0,0,0.11765,0,0.99608,0,0,0.78039,0,0
0,0.98431,0,0,0,0.24314,0,0,0,0,0,0.98431,0,0,0,0,0.98431,1,0,0,0,0
0,0.99216,0,0,0,0.81176,0,0.1451,0,0,0,0.66275,0,0,0,0,0.99216,0,0.56471,0,0.6549,0
0,0.50196,0,0.50196,0,0.74902,1,1,0,0,0.74902,1,0,0,0,0,0,1,0,1,0,0
0,0.99608,0,0.070588,0,0.99608,0.0078431,0.45098,0,0,0,0.99608,0,0,0,0,0.26667,0.10588,0,0,0,0
0.3451,0.99216,0,0.50588,0,0,0.035294,0.77647,0,0,0.99216,0.99216,0,0.05098,0.27843,0,0.14902,0.44314,0,0.99216,0,0
0,0.12157,0,0.83529,0,0.99608,0.92941,0.99608,0,0,0.019608,0.99608,0.035294,0.99608,0,0,0.99608,0.023529,0,0.65098,0,0
0,0.4902,0,0,0,0.99216,0.5451,0.29804,0,0,0,0.96863,1,0.99216,0.33333,0,0.99216,0.99216,0,0.1098,0,0
0,0.94118,0,0.99216,0,0.99216,0,0.30196,0,0,0,0.99216,0,0.45098,0,0,0.99216,0.46275,0,0,0,0
0.047059,0.99608,0,0,0,0,0,0.7451,0,0,0,0.2902,0.99608,0.99608,0,0,0.90588,0.50588,0,0,0,0
0,1,0,0,0,0.50196,1,1,0,0.50196,0,0,0,0,1,0,0,1,0,0,0,0
0,0.99216,0,0,0,0.65882,0,0,0,0,0,0.99216,0,0.2,0,0,0.039216,0.72549,0,0,0.2549,0
0,0,0,0.98824,0,0.99216,0.99216,0.98824,0,0,0.98824,0.98824,0.19216,0.98824,0,0,0.91373,0.79216,0,0.98824,0,0
0,0,0,0.54902,0,0.89412,0.99216,0.99216,0,0,0.88627,0.99216,0.17647,0.99216,0,0,0.88627,0.61176,0,0.99216,0,0
0,0.17255,0,0.15686,0,0.99216,0.8902,0.58039,0,0,0,0.22745,0.16863,0.61961,0,0,0,0.48627,0,0,0,0
0,0.53725,0,0.62745,0,0.98824,0.98824,0.035294,0,0,0,0.98824,0,0.094118,0,0,0.97255,0,0,0.26667,0,0
0.42745,0.71373,0,0.98431,0,0,0.99216,0.98431,0,0,0.98431,0.98431,0,0.7451,0.99216,0.57647,0.99216,0.98431,0,0.98431,0,0
0,0,0,0.99216,0.99216,0.99216,0.047059,0.99216,0,0,0.41569,0.99216,0,0.53333,0,0,0.91373,0.99216,0,0.99216,0,0
0,0,0,0.99216,0.4549,0.99216,0.99216,0.90588,0,0,0.99216,0.99216,0,0.95294,0,0,0.95294,0.60392,0,0.99216,0,0
0,0,0,0.99216,0,0.95294,0.99216,0.99216,0,0,0.99216,0.99216,0,0.39216,0.25098,0,0.50196,0.92549,0,0.99216,0,0
0.99216,0.98824,0,0,0,0,0,0,0,0,0,0.98824,0,0,0.043137,0,0.98824,0.98824,0,0,0,0
0,0,0,0.99216,0.8,0.99216,0.99216,0.99216,0,0,0.88235,0.99216,0,0.95294,0,0,0.95294,0.60392,0,0.74902,0,0
0,0,0,0.40392,0.7451,0.98824,0.98824,0.83922,0,0,0.32941,0.99216,0.55294,0.98824,0,0,0.99216,0.023529,0,0.99216,0,0
0,0,0,0.98824,0.16863,0.99216,0.48235,0.082353,0,0,0.2549,0.05098,0.66275,0.98824,0,0,0,0,0,0.98824,0.92549,0
0,0.086275,0,0.99608,0.039216,0.96863,0.99608,0.99608,0,0,0,0.99608,0,0.062745,0,0,0.61961,0,0,0,0,0
0,0,0,0,0,1,1,1,0,0,0.50196,1,0,1,1,0,1,1,0,1,0,0
0,1,0,1,0,0,0,1,0,0,1,1,0,0.74902,0,0,0.74902,1,0,1,0,0
0.16863,0.058824,0,0.47059,0,0.19216,0.99216,0.9098,0,0,0.99216,0.99216,0,0.9451,0,0,0.99216,0.31373,0,0.99216,0,0
0,0,0,0.67059,0,0.99216,0.99216,0.98431,0,0,0,0.96863,0.64706,0.99216,0,0,0.99216,0.93725,0,0.8549,0,0
0,0,0,0.99216,0,0.68627,0.99608,0.97255,0,0,0.43529,0.99216,0.61176,0.99216,0,0,0.18431,0.99216,0,0.99216,0,0
0,0.99216,0,0,0.41569,0.66667,0.094118,0.6549,0,0,0,0.40784,0,0,0,0,0.79608,0.50588,0.99216,0,0.99216,0.027451
0,0,0,0,0,0.015686,0.96078,0.49412,0,0,0.99608,0.99608,0,0.14902,1,0,0.6549,0,0,0.99608,0,0
0.2,0,0,0.019608,0,0,0.99608,0.99216,0,0,0.99216,0.99216,0,0.52157,0.99608,0,0.71765,0.66275,0,0.85882,0,0
0.1451,0.058824,0,0.92157,0,0.4549,0.97647,0.99608,0,0,0.97647,0.99608,0,0.98431,0,0,0.77255,0.84706,0,0.99608,0,0
0.63137,0.99608,0,0,0,0,0,0.95294,0,0,0,0.99608,0,0.80784,0.99608,0,0.019608,0.96863,0,0.015686,0,0
0.023529,0.1098,0,0.99608,0,0.066667,0.67843,0.99608,0,0,0.49804,0.95686,0.8,0.99608,0.73333,0,0.99608,0.011765,0,0.99608,0,0
0,0.8549,0,0.40784,0,0,0,0,0,0,0,0.28235,0,0.75686,0,0,0.99216,0.78824,0,0,0,0
0,0,0,0.99608,0,0,0.68627,0.77255,0,0,0.15294,0.99608,0,0.76471,0.05098,0,0.10588,0.99608,0,0.99608,0,0
0,0,0,0.99608,0,0.99608,0.99608,0.94902,0,0,0.99608,0.99608,0,0.078431,0.023529,0,0.058824,0.43529,0,0.62353,0,0
0,0,0,0.71373,0,0.062745,0.62353,0.99608,0,0,0.72549,0.99608,0,0.92941,0.56078,0,0.37255,0.99608,0,0.48627,0,0
0,0.99608,0,0.58824,0.054902,0.26667,0,0.98431,0,0,0,0.97647,0,0,0,0,0,0,0.83529,0,0.71765,0
0,0,0,0.2,0,0.10196,0.99608,0.99608,0,0,0.92941,0.99608,0,0.59216,0.99216,0,0.32157,0.49804,0,0.99608,0,0
